"","length","diameter","cones","leaves","bark_thickness","seed_size","fungi_present","color_guess","soil_pH","collector_id","collector_guess"
"1",243.95,135.79,197,7719,1.29,1.02165273559465,FALSE,"dark",6.82,3,1
"2",299.78,89.19,64,19502,0.63,1.00037202010807,FALSE,"light",6.21,2,1
"3",455.87,145.07,180,6455,1.36,1.00080111617582,FALSE,"mid-green",6.96,3,1
"4",103.34,137.19,58,15634,1.25,1.00083640901251,TRUE,"lightish",9.86,3,2
"5",302.07,99.81,20,4585,1.09,1.00436009866959,TRUE,"dark",9.16,1,3
"6",471.51,149.1,84,4382,1.52,0.999802326724855,TRUE,"mid-green",7.22,2,1
"7",346.09,134.3,138,11185,1.14,1.05531240569841,FALSE,"lightish",8.58,3,1
"8",173.49,116.64,7,10575,1.19,1.02865858674009,FALSE,"light",6.68,1,1
"9",231.31,142.4,61,18956,1.55,0.99798477307943,FALSE,"darkish",5.19,3,1
"10",231.2,135.17,129,19042,1.4,0.999066453173716,TRUE,"darkish",9.02,2,1
"11",422.41,138.49,57,9830,1.52,1.00031300594451,TRUE,"mid-green",8.84,2,1
"12",335.98,162.16,165,2568,1.7,0.997156286929013,TRUE,"light",7.71,3,1
"13",340.08,117.64,35,17342,1,1.00436577802048,FALSE,"lightish",8.5,1,1
"14",311.07,148.89,95,8518,1.43,0.999238035573443,TRUE,"mid-green",6.84,1,1
"15",313.86,104.94,90,3428,0.93,1.00042249772657,TRUE,"dark",7.65,3,2
"16",295.71,156.64,41,11818,1.52,0.999948122154085,FALSE,"mid-green",6.65,3,2
"17",285.74,98.31,77,3616,1.06,1.00007663791155,FALSE,"darkish",8.7,2,1
"18",103.34,137.19,58,15634,1.25,1.00083640901251,TRUE,"lightish",9.86,3,1
"19",455.87,145.07,180,6455,1.36,1.00080111617582,FALSE,"mid-green",6.96,3,2
"20",252.72,129.52,-4,16487,1.39,0.989807430465822,TRUE,"mid-green",7.97,3,1
"21",193.22,152.35,105,6722,1.55,0.997031504357219,FALSE,"lightish",7.97,1,1
"22",278.2,131.05,125,7929,1.43,1.00296833322329,TRUE,"lightish",6.48,1,1
"23",230.53,164.04,49,16218,1.7,0.999762783106596,FALSE,"mid-green",8.85,3,2
"24",227.11,144.88,58,1710,1.51,0.999943652062354,FALSE,"light",7.79,1,1
"25",237.5,186.88,177,10857,1.82,0.99791273429472,TRUE,"mid-green",7.34,1,1
"26",131.33,136.96,122,13901,1.44,1.00048585713431,TRUE,"lightish",6.59,3,1
"27",161.36,91.48,122,12563,1.06,0.995666013786008,FALSE,"dark",9.56,2,1
"28",315.34,151.56,72,1485,1.58,1.00033959068267,TRUE,"darkish",7.15,2,1
"29",186.19,130.76,24,19792,1.44,1.00362598358874,TRUE,"darkish",7.6,1,1
"30",425.38,148.57,171,6755,1.49,0.997787440260704,FALSE,"darkish",6.78,2,1
"31",297.05,97.34,192,13876,0.91,1.00466436131292,TRUE,"light",8.61,3,2
